timestamp,gpu_temp,resolution,percentage,actual_fps,gpu_load,cpu_load
1970-01-01 02:38:50.891,57.218,640,1.0,22.59,59.1,19.6
1970-01-01 02:38:51.398,57.25,640,1.0,23.23,87.0,19.1
1970-01-01 02:38:51.901,57.562,640,1.0,24.39,85.2,19.5
1970-01-01 02:38:52.408,57.312,640,1.0,23.32,95.8,19.1
1970-01-01 02:38:52.912,57.593,640,1.0,23.77,97.0,18.5
1970-01-01 02:38:53.418,57.406,640,1.0,24.59,69.0,18.5
1970-01-01 02:38:53.922,57.218,640,1.0,24.57,81.6,19.1
1970-01-01 02:38:54.428,57.156,640,1.0,23.79,45.9,18.7
1970-01-01 02:38:54.933,57.593,640,1.0,24.11,55.9,19.4
1970-01-01 02:38:55.440,57.281,640,1.0,22.96,74.9,19.8
1970-01-01 02:38:55.944,57.656,640,1.0,24.22,61.6,19.4
1970-01-01 02:38:56.451,57.437,640,1.0,23.89,96.4,19.3
1970-01-01 02:38:56.955,57.25,640,1.0,24.34,49.7,19.6
1970-01-01 02:38:57.462,57.468,640,1.0,23.53,45.7,19.0
1970-01-01 02:38:57.966,57.312,640,1.0,23.70,85.9,18.5
1970-01-01 02:38:58.472,57.218,640,1.0,23.40,78.2,18.6
1970-01-01 02:38:58.976,57.625,640,1.0,23.12,88.8,18.6
1970-01-01 02:38:59.482,57.218,640,1.0,24.17,91.0,18.9
1970-01-01 02:38:59.987,57.562,640,1.0,23.28,86.9,18.6
1970-01-01 02:39:00.493,57.312,640,1.0,24.47,87.7,18.2
1970-01-01 02:39:00.999,57.156,640,1.0,24.54,58.6,18.2
1970-01-01 02:39:01.505,57.375,640,1.0,23.53,78.3,19.3
1970-01-01 02:39:02.009,57.281,640,1.0,23.38,44.1,18.4
1970-01-01 02:39:02.515,57.281,640,1.0,24.51,93.5,18.6
1970-01-01 02:39:03.018,57.5,640,1.0,24.24,85.2,18.2
1970-01-01 02:39:03.525,57.406,640,1.0,24.08,84.4,18.8
