timestamp,gpu_temperature,resolution,fps,gpu_load,cpu_load
2026-02-04 18:51:08.291,53.656,320,27.15,58.1,15.8
2026-02-04 18:51:08.795,53.437,320,27.60,73.4,16.0
2026-02-04 18:51:09.301,53.625,320,26.15,75.7,16.1
2026-02-04 18:51:09.805,53.218,320,25.93,65.4,17.3
2026-02-04 18:51:10.312,53.343,320,26.91,76.0,16.5
2026-02-04 18:51:10.815,53.156,320,25.26,68.2,16.6
2026-02-04 18:51:11.323,53.593,320,27.26,65.0,17.3
2026-02-04 18:51:11.827,53.343,320,26.63,78.7,17.0
2026-02-04 18:51:12.334,53.593,320,26.64,59.3,15.9
2026-02-04 18:51:12.837,53.375,320,26.76,45.7,15.7
2026-02-04 18:51:13.344,53.281,320,26.46,47.7,16.3
2026-02-04 18:51:13.848,53.093,320,27.01,75.8,15.7
2026-02-04 18:51:14.355,53.156,320,27.06,48.0,15.3
2026-02-04 18:51:14.859,53.343,320,27.13,70.1,15.3
2026-02-04 18:51:15.365,53.5,320,26.40,45.0,16.1
2026-02-04 18:51:15.869,53.25,320,26.63,71.5,16.5
2026-02-04 18:51:16.376,53.125,320,26.18,46.4,15.3
2026-02-04 18:51:16.879,53.093,320,26.57,73.9,16.8
2026-02-04 18:51:17.386,53.125,320,26.76,45.1,16.1
2026-02-04 18:51:17.890,53.093,320,27.56,69.6,17.2
2026-02-04 18:51:18.396,53.437,320,27.00,76.1,17.1
2026-02-04 18:51:18.901,53.281,320,26.81,44.6,16.4
2026-02-04 18:51:19.407,53.062,320,26.94,63.2,16.5
2026-02-04 18:51:19.911,53.062,320,26.49,44.3,15.7
2026-02-04 18:51:20.418,53.031,320,27.11,66.1,16.7
2026-02-04 18:51:20.922,53.062,320,25.95,42.8,15.8
2026-02-04 18:51:21.428,53.437,320,26.52,56.1,15.9
2026-02-04 18:51:21.932,53.156,320,26.68,78.4,16.2
2026-02-04 18:51:22.439,53.437,320,26.41,71.7,17.0
2026-02-04 18:51:22.944,53.125,320,25.44,72.1,14.4
2026-02-04 18:51:23.450,53.093,320,27.12,75.8,16.1
2026-02-04 18:51:23.954,53.093,320,27.29,51.0,18.4
2026-02-04 18:51:24.460,53.093,320,26.68,63.4,16.7
2026-02-04 18:51:24.964,53.156,320,25.69,75.5,16.1
2026-02-04 18:51:25.470,53.25,320,27.04,67.0,15.5
2026-02-04 18:51:25.974,53.125,320,26.04,71.9,15.5
2026-02-04 18:51:26.481,53.0,320,27.56,48.5,16.0
2026-02-04 18:51:26.985,53.093,320,26.46,77.0,16.3
2026-02-04 18:51:27.491,53.031,320,26.40,69.9,16.4
2026-02-04 18:51:27.995,53.187,320,24.67,46.4,18.1
2026-02-04 18:51:28.502,53.281,320,27.84,63.6,17.2
2026-02-04 18:51:29.006,53.125,320,26.78,48.4,15.1
2026-02-04 18:51:29.513,53.0,320,26.03,59.9,15.9
2026-02-04 18:51:30.017,52.937,320,26.99,47.0,16.3
2026-02-04 18:51:30.523,53.0,320,26.87,60.5,16.8
2026-02-04 18:51:31.028,53.031,320,26.20,76.3,16.3
2026-02-04 18:51:31.534,53.093,320,26.53,62.0,16.5
2026-02-04 18:51:32.038,53.031,320,26.67,75.4,15.7
