timestamp,gpu_temperature,resolution,fps,gpu_load,cpu_load
1970-01-01 02:15:34.503,58.0,640,24.14,62.9,19.6
1970-01-01 02:15:35.009,57.656,640,23.18,58.1,19.5
1970-01-01 02:15:35.512,57.656,640,24.28,58.7,18.7
1970-01-01 02:15:36.019,57.875,640,24.24,88.4,18.8
1970-01-01 02:15:36.522,58.125,640,23.91,95.4,18.3
1970-01-01 02:15:37.029,57.718,640,22.86,74.9,18.0
1970-01-01 02:15:37.533,58.031,640,24.24,85.6,18.0
1970-01-01 02:15:38.039,57.875,640,24.24,49.5,19.6
1970-01-01 02:15:38.542,57.75,640,24.44,62.1,19.0
1970-01-01 02:15:39.049,57.593,640,24.39,66.0,18.7
1970-01-01 02:15:39.552,57.968,640,24.43,53.3,19.4
1970-01-01 02:15:40.058,57.75,640,24.18,87.7,20.5
1970-01-01 02:15:40.562,57.75,640,24.72,80.1,19.2
1970-01-01 02:15:41.068,57.875,640,24.14,90.2,19.1
1970-01-01 02:15:41.571,57.812,640,22.83,82.1,19.0
1970-01-01 02:15:42.077,57.75,640,22.75,86.9,16.9
1970-01-01 02:15:42.581,58.093,640,22.37,88.2,18.6
1970-01-01 02:15:43.088,57.843,640,23.79,75.5,18.5
1970-01-01 02:15:43.593,57.781,640,22.94,89.5,19.8
1970-01-01 02:15:44.099,57.875,640,23.43,57.2,20.1
1970-01-01 02:15:44.603,57.781,640,23.79,63.8,19.5
1970-01-01 02:15:45.109,57.656,640,23.80,60.6,19.9
1970-01-01 02:15:45.612,58.0,640,24.66,44.2,19.5
1970-01-01 02:15:46.118,57.875,640,24.30,77.1,18.8
1970-01-01 02:15:46.622,57.875,640,23.66,58.0,17.7
1970-01-01 02:15:47.128,57.843,640,24.14,93.8,18.6
1970-01-01 02:15:47.632,57.937,640,23.50,90.9,18.7
1970-01-01 02:15:48.139,57.593,640,24.14,75.3,18.6
1970-01-01 02:15:48.643,57.937,640,24.24,80.5,18.5
1970-01-01 02:15:49.149,57.781,640,24.18,51.9,18.2
1970-01-01 02:15:49.653,57.656,640,24.18,57.2,19.3
1970-01-01 02:15:50.159,57.562,640,24.52,43.5,20.9
1970-01-01 02:15:50.662,57.937,640,23.57,57.1,19.3
1970-01-01 02:15:51.168,57.656,640,24.24,67.4,18.9
1970-01-01 02:15:51.672,57.812,640,24.24,56.2,18.7
1970-01-01 02:15:52.178,57.875,640,23.98,95.9,17.6
1970-01-01 02:15:52.683,57.812,640,23.92,84.9,19.2
1970-01-01 02:15:53.189,57.625,640,23.02,72.4,19.6
1970-01-01 02:15:53.692,57.906,640,23.90,91.6,19.6
1970-01-01 02:15:54.198,57.75,640,24.05,54.2,19.5
1970-01-01 02:15:54.703,57.781,640,23.88,70.6,19.6
1970-01-01 02:15:55.209,57.781,640,24.54,45.7,20.7
1970-01-01 02:15:55.713,57.75,640,24.13,47.5,18.5
1970-01-01 02:15:56.220,57.718,640,24.17,71.6,18.1
1970-01-01 02:15:56.723,57.875,640,24.30,52.1,19.0
1970-01-01 02:15:57.230,58.093,640,22.89,71.0,17.3
1970-01-01 02:15:57.734,57.781,640,24.42,57.9,18.5
1970-01-01 02:15:58.240,57.843,640,24.03,92.3,18.5
1970-01-01 02:15:58.744,57.718,640,24.00,77.2,18.0
1970-01-01 02:15:59.250,58.125,640,23.89,90.1,18.2
1970-01-01 02:15:59.754,57.937,640,24.11,71.2,19.4
1970-01-01 02:16:00.260,57.843,640,24.06,80.3,20.0
1970-01-01 02:16:00.763,57.593,640,24.07,68.8,18.2
1970-01-01 02:16:01.270,57.656,640,23.60,42.6,17.8
1970-01-01 02:16:01.775,57.812,640,23.18,58.2,18.8
1970-01-01 02:16:02.282,58.156,640,23.90,54.4,17.9
1970-01-01 02:16:02.786,57.937,640,24.16,94.6,18.1
1970-01-01 02:16:03.292,58.062,640,23.93,87.7,18.6
1970-01-01 02:16:03.795,57.687,640,22.28,88.5,17.6
1970-01-01 02:16:04.302,57.781,640,23.84,65.4,17.5
1970-01-01 02:16:04.806,57.687,640,24.07,84.7,19.2
1970-01-01 02:16:05.312,58.125,640,23.92,61.7,19.3
1970-01-01 02:16:05.816,57.937,640,23.04,69.7,18.6
1970-01-01 02:16:06.322,58.031,640,21.98,54.1,17.7
1970-01-01 02:16:06.826,57.625,640,24.40,68.5,18.3
1970-01-01 02:16:07.332,57.875,640,24.41,56.8,19.0
1970-01-01 02:16:07.835,57.968,640,24.60,89.8,18.7
1970-01-01 02:16:08.342,58.187,640,24.60,77.7,19.2
1970-01-01 02:16:08.845,57.937,640,24.02,87.9,19.4
1970-01-01 02:16:09.352,57.812,640,24.06,91.7,19.9
1970-01-01 02:16:09.856,57.75,640,24.10,80.4,19.9
1970-01-01 02:16:10.362,57.812,640,24.06,86.9,19.9
1970-01-01 02:16:10.866,57.937,640,24.20,88.7,19.0
1970-01-01 02:16:11.372,58.062,640,24.31,63.8,18.9
1970-01-01 02:16:11.876,57.937,640,23.23,80.2,18.5
1970-01-01 02:16:12.382,57.875,640,23.18,51.3,17.8
1970-01-01 02:16:12.886,57.75,640,24.54,73.7,21.0
1970-01-01 02:16:13.393,58.125,640,23.16,44.2,19.5
1970-01-01 02:16:13.896,57.875,640,23.30,54.3,19.2
1970-01-01 02:16:14.402,58.031,640,23.34,71.4,19.6
1970-01-01 02:16:14.906,57.781,640,24.10,57.9,20.1
1970-01-01 02:16:15.412,57.781,640,22.39,87.1,18.0
1970-01-01 02:16:15.916,57.718,640,23.42,91.8,19.0
1970-01-01 02:16:16.422,58.062,640,23.24,82.7,17.8
1970-01-01 02:16:16.926,57.875,640,22.45,79.6,18.1
1970-01-01 02:16:17.431,57.781,640,24.43,50.6,19.0
1970-01-01 02:16:17.935,57.687,640,23.34,44.4,19.3
1970-01-01 02:16:18.440,57.937,640,23.91,53.2,18.9
